mu_g;sdmu_g;survival_scalar1;init_asoc;init_amat;sdmu_b;init_agen;sdmu_a;mu_dp;np;gmax;bmin;amin;nc;amax;sigmoidal_survival;mu_agen;bmax;seed;mu_asoc;init_bmat_phen;sdsoc;survival_scalar0;qmat;qjuv;gmin;init_dp;mu_bmat_envt;mu_bmat_phen;init_ajuv;nloci_g;mu_ajuv;p;mu_dc;sdmat;init_dc;init_g;m;mu_amat;init_bmat_envt;laplace;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;115174425;0.01;0;0.05;0.8;0.5;0.9;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.512441;0.512439;0.100646;0.0214574;0.08431;0.165942;-0.626672;-1.00354;2.15715;-8.24885;-0.708267;2634.93;2634.35;133.504;8.39489;40000;360.497;133136;116951;178679;691429;8016.76;0.48;0.787205;0.806627;0.00061639;0.000582283;./sim_cue_integration_17_8_2019_230647_129701720
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;115047926;0.01;0;0.05;0.8;1;0.5;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.51386;0.519201;0.403477;0.067981;0.85863;0.737526;-2.95587;6.66335;-4.65984;-8.77454;-1.76555;2879.03;2993.51;1676.14;66.8287;39999.3;5604.97;157870;474233;274917;777004;13299.6;0.52;0.807197;0.836903;0.0144939;0.0121309;./sim_cue_integration_17_8_2019_230647_130687112
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;109024404;0.01;0;0.05;0.8;0.9;0.9;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.510904;0.511783;0.0993879;0.0746918;0.0964317;0.0888035;0.32801;-0.37987;4.7113;-5.61597;-0.427205;2623.75;2632.88;137.099;80.0944;40000;106.935;82671.5;209607;273877;391900;7398.6;0.5275;0.789046;0.807959;0.000946266;0.000849297;./sim_cue_integration_17_8_2019_230647_131462083
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;115638004;0.01;0;0.05;0.8;0.5;0.9;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.9;0.01;0;1;49990;0.510173;0.511407;0.0986208;0.0802494;0.0647653;0.11884;4.97161;-3.16435;-5.10896;-0.321963;-0.534544;2615.83;2629.41;127.828;92.0359;40000;199.133;338230;188463;322522;142617;7538.97;0.5075;0.790375;0.807536;0.000895817;0.000838427;./sim_cue_integration_17_8_2019_230647_132592142
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;114898834;0.01;0;0.05;0.8;0.5;1;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.508697;0.508293;0.100838;0.0186061;0.078379;0.0753377;-1.23187;-0.178995;-1.7697;1.28464;-0.433988;2595.68;2591.41;135.002;6.53128;40000;87.6562;118571;94590.4;137754;167750;7515.46;0.48;0.790352;0.803635;0.000520527;0.000523838;./sim_cue_integration_17_8_2019_230647_133853869
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;113249537;0.01;0;0.05;0.8;0.5;0.9;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.508815;0.506205;0.0971459;0.0746122;0.0900167;0.0909847;-4.06519;0.251306;3.62415;4.01899;-0.582391;2602.03;2576.36;132.789;80.5601;40000;119.909;234449;109161;225519;241562;7424.07;0.5;0.793667;0.803998;0.000870636;0.000842854;./sim_cue_integration_17_8_2019_230647_134716578
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;119379850;0.01;0;0.05;0.8;0.5;1;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.509345;0.509043;0.0855041;0.0839844;0.080816;0.0922648;3.19704;1.43196;-3.15216;-4.67507;-0.523931;2607.02;2603.83;104.667;97.3034;40000;119.156;179125;91915;225565;326941;7686.45;0.4725;0.792423;0.807438;0.000821233;0.000828994;./sim_cue_integration_17_8_2019_230647_134770201
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;115338482;0.01;0;0.05;0.8;1;1;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.9;0.01;0;1;49990;0.511699;0.509818;0.112861;0.0591983;0.146305;0.118527;4.25513;6.47961;2.83914;-5.39786;-0.766273;2630.59;2611.74;163.072;52.272;40000;192.835;324204;471754;192984;391168;8255.11;0.5275;0.790076;0.807229;0.000800467;0.00078778;./sim_cue_integration_17_8_2019_230647_135461773
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;120782909;0.01;0;0.05;0.8;0.9;0.9;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.510743;0.510485;0.0991062;0.0689437;0.090376;0.097522;-3.09199;1.83724;-0.566971;-5.18301;-0.532846;2620.83;2618.66;135.122;68.9686;40000;132.715;212217;168138;150125;345765;7656.53;0.52;0.790434;0.80621;0.000847831;0.000781079;./sim_cue_integration_17_8_2019_230647_136886094
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;116165813;0.01;0;0.05;0.8;0.5;1;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.513271;0.512882;0.0980116;0.0242179;0.0877877;0.128882;3.4097;-0.443402;-1.39408;-7.45218;-0.537007;2642.45;2638.31;128.602;10.7723;40000;219.77;217087;59565;128827;580133;7264.49;0.515;0.78708;0.808195;0.000550421;0.000519457;./sim_cue_integration_17_8_2019_230647_136987626
