sigmoidal_survival;laplace;p;qmat;qjuv;nloci_g;init_g;init_amat;init_ajuv;init_agen;init_bmat_phen;init_bmat_envt;gmin;gmax;amin;amax;bmin;bmax;sdmat;mu_g;sdmu_g;mu_amat;mu_ajuv;mu_agen;mu_bmat_phen;mu_bmat_envt;sdmu_a;sdmu_b;m;survival_scalar0;survival_scalar1;seed;generation;mean_ad_phen;mean_agen;mean_ajuv;mean_amat;mean_bmat_phen;mean_bmat_envt;mean_g;var_ad_phen;var_agen;var_ajuv;var_amat;var_bmat_phen;var_bmat_envt;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;1;0;1;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;888745144;49990;0.858859;0.649792;0.0599584;3.57856;-2.15958;7.5421;-2.63849;7382.55;4236.39;50.4635;39987.2;86807.2;581627;23714;1;0.976567;-nan;7.91515e-05;-nan;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193245_876163459
0;1;0.9;0.5;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1133262016;49990;0.50463;0.521469;2.52779;0.067136;1.7547;1.46948;-2.42403;3347.94;2740.17;63922.3;40000;59565.4;43409.8;20466.7;0.5075;0.890918;0.900135;0.0265794;0.0243788;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193445_1121297631
0;1;0.9;0.9;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1029121405;49990;0.501525;0.379726;0.0401771;1.44349;0.494553;5.12316;-1.91299;2850.43;1541.81;25.8477;39997.9;19181;276095;15237.8;0.535;0.833349;0.840094;0.0170067;0.0160368;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193014_1012982457
0;1;0.1;0.9;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;276343054;49990;0.51235;0.302961;0.0116056;1.40025;-0.997779;5.11719;-2.25588;2886.87;927.718;3.33612;39998;25299.4;270526;18106;0.51;0.841532;0.841495;0.0125679;0.0129048;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180313_287912232
0;1;0.4;1;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1402684266;49990;0.500572;0.0520957;0.0327775;0.0641639;1.66406;3.99707;-0.843042;2508.73;39.1317;17.3977;40000;41003.6;191265;8534.51;0.53;0.798659;0.800472;0.000217199;0.000215055;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193300_1421280206
0;1;0.7;1;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1355274324;49990;0.507265;0.242506;0.861149;0.154085;-0.160185;1.73379;-2.01923;2704.55;600.023;7436.29;40000;10375.6;38186;15325.2;0.4475;0.809711;0.81602;0.00794184;0.00768672;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_194959_1340833665
0;1;0.9;0.9;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;969973826;49990;0.527208;0.514778;2.43844;0.145564;1.03007;1.2449;-2.44614;3558.29;2664.32;59505.2;40000;29109.4;23064.1;20968.9;0.5125;0.891304;0.898111;0.0254535;0.0242132;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180333_957832676
0;1;0.5;0.9;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1299855909;49990;0.5051;0.0680099;0.0372223;0.0594364;0.805519;1.01047;-0.425002;2553.78;61.3078;22.9768;40000;15303.8;20065.2;10450.5;0.4875;0.795714;0.803372;0.000177586;0.000169842;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180311_1287003789
0;1;0.5;0.9;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;322799951;49990;0.503115;0.0607901;0.0396091;0.0331837;-1.32999;-1.52064;-0.364164;2533.54;50.0922;25.1059;40000;36652.4;31869.8;6616.96;0.4975;0.796772;0.802434;0.000171548;0.000156367;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193929_310361895
0;1;1;0.9;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;836758226;49990;0.984207;1.36251;1.0524;0.637589;0.185505;3.19628;2.06075;9687.51;18720.7;11193.6;39999.6;15121.7;118921;16054.2;1;-nan;0.999669;-nan;8.33014e-07;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193500_848381343
