init_amat;mu_ajuv;mu_dc;init_bmat_envt;init_ajuv;nc;mu_bmat_envt;bmax;qmat;np;gmax;sigmoidal_survival;sdmu_b;survival_scalar1;gmin;seed;sdmu_g;amin;survival_scalar0;sdsoc;mu_g;mu_bmat_phen;mu_agen;m;qjuv;init_bmat_phen;init_dp;nloci_g;init_dc;mu_dp;mu_amat;amax;laplace;init_agen;mu_asoc;sdmu_a;bmin;init_asoc;p;sdmat;init_g;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;0.01;0.01;0;0;50;0.01;10;0.9;0;1;0;0.25;0;-1;1148137420;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;1;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.05;0.05;0;49990;0.534721;0;0.715067;0.0292541;1.84651;1.19228;-7.97826;3.39355;-7.26309;0.554155;-1.96629;3623.22;0;5171.09;15.7959;39996.6;14476.2;651927;129798;552401;44009.7;15054.7;0.505;0.88586;0.86232;0.0238833;0.0316309;./sim_cue_integration_18_8_2019_220237_1161288674
0;0.01;0.01;0;0;50;0.01;10;0.5;0;1;0;0.25;0;-1;1149376041;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;1;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.1;0.05;0;49990;0.513568;0;0.0923087;0.0188183;0.104503;0.132084;-1.28431;2.79176;2.27278;6.71774;-0.415603;2647.09;0;120.276;7.1786;40000;232.638;141332;263768;101834;474472;7270.64;0.525;0.784454;0.807363;0.000669933;0.000606835;./sim_cue_integration_18_8_2019_220237_1162887156
0;0.01;0.01;0;0;10;0.01;10;0.5;0;1;0;0.25;0;-1;1166803702;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;1;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.05;0.05;0;49990;0.510773;0;0.0931198;0.0189803;0.0856982;0.141021;1.72485;0.883629;3.61987;6.99087;-0.57083;2619.59;0;121.265;6.96341;40000;282.477;167067;99733.5;192430;523839;7613.06;0.5075;0.787547;0.805074;0.000728823;0.000679817;./sim_cue_integration_18_8_2019_220237_1180254712
0;0.01;0.01;0;0;10;0.01;10;0.9;0;1;0;0.25;0;-1;1167017220;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;1;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.1;0.05;0;49990;0.513932;0;0.453;0.0249007;1.24453;0.58051;-6.4871;5.43175;-7.52403;2.73006;-1.80878;2970.62;0;2093.13;11.5335;39998.5;3520.95;459589;336534;581290;159143;13565.7;0.5025;0.824492;0.845032;0.0173259;0.0160855;./sim_cue_integration_18_8_2019_220237_1180448341
0;0.01;0.01;0;0;50;0.01;10;0.9;0;1;0;0.25;0;-1;1172376465;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;0.5;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0;0.05;0;49990;0.977787;0;2.11129;0.142946;3.44886;5.2423;-8.12407;0.645128;-8.18437;-0.364056;-1.90639;9567.76;0;44710.2;270.61;39988.1;275761;676453;28281.9;682645;59993.7;14452.2;1;0.996075;-nan;0.000308286;-nan;./sim_cue_integration_18_8_2019_220237_1186548570
0;0.01;0.01;0;0;10;0.01;10;1;0;1;0;0.25;0;-1;1204727772;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;0.5;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.05;0.05;0;49990;0.476021;0;0.753993;0.083915;2.77232;0.28753;-4.01663;6.93775;-5.1405;4.04571;-1.90453;3195.84;0;5747.7;104.701;39992.3;994.913;215087;504270;309276;261175;14393.8;0.4775;0.875897;0.910475;0.0355691;0.0241776;./sim_cue_integration_18_8_2019_220237_1229296411
0;0.01;0.01;0;0;50;0.01;10;1;0;1;0;0.25;0;-1;1254173956;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;0.9;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0;0.05;0;49990;0.975572;0;1.9504;0.10849;4.82935;3.34628;-0.165246;7.59087;-8.22942;0.393038;-1.92141;9523.47;0;38255.3;160.91;39976.7;112377;69384.1;596586;692956;101543;14641.1;1;0.995467;-nan;0.000318773;-nan;./sim_cue_integration_18_8_2019_220237_1268928196
0;0.01;0.01;0;0;50;0.01;10;0.5;0;1;0;0.25;0;-1;1249795902;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;1;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.05;0.05;0;49990;0.51178;0;0.0850901;0.01703;0.0902641;0.143259;0.490913;0.156282;1.87711;7.21734;-0.419486;2627.62;0;103.785;6.06646;40000;272.7;121759;153008;93213.6;542431;7440.72;0.4775;0.787022;0.806017;0.000592403;0.000532755;./sim_cue_integration_18_8_2019_220237_1265293553
0;0.01;0.01;0;0;10;0.01;10;0.9;0;1;0;0.25;0;-1;1204864004;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;0.5;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.1;0.05;0;49990;0.510757;0;0.449433;0.0800479;1.16237;0.644898;-2.93918;6.99866;-7.82021;2.38377;-1.83088;2945.5;0;2052.75;89.8954;39998.6;4287.31;247579;511193;627894;143325;13749.1;0.4675;0.838278;0.843325;0.0167194;0.0164206;./sim_cue_integration_18_8_2019_220237_1229553874
0;0.01;0.01;0;0;2;0.01;10;0.9;0;1;0;0.25;0;-1;1254045536;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;1;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0;0.05;0;49990;0.972579;0;2.06407;0.10821;4.23641;4.27745;-8.3992;1.15029;-8.09971;-0.530239;-1.94938;9471.09;0;42730.5;164.434;39982.1;183638;714524;33623.9;668257;56610.2;14944.5;1;0.995534;-nan;0.000442036;-nan;./sim_cue_integration_18_8_2019_220237_1269036526
