init_g;mu_g;mu_bmat_envt;mu_dp;laplace;gmin;init_bmat_phen;qjuv;qmat;m;sdmu_b;init_amat;bmin;survival_scalar1;np;nloci_g;nc;mu_agen;sdmat;amax;mu_dc;sdsoc;gmax;sigmoidal_survival;seed;init_dp;sdmu_g;init_bmat_envt;mu_asoc;survival_scalar0;init_ajuv;bmax;init_asoc;p;init_agen;mu_bmat_phen;mu_ajuv;amin;sdmu_a;mu_amat;init_dc;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;0.01;0.01;0.01;1;-1;0;0.5;0.241379;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;692929396;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.516366;0.517835;0.672709;0.0892093;0.176862;2.36677;1.56692;-4.6231;1.37362;8.56776;-1.82817;3257.46;3407.68;4587.79;113.723;40000;56230.1;143267;255584;215241;741785;13881.1;0.555;0.853046;0.866903;0.0250289;0.0225944;./sim_cue_integration_18_8_2019_131436_676065548
0;0.01;0.01;0.01;1;-1;0;1;0.206897;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;661458660;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.49152;0.504848;0.139142;1.34417;0.104001;0.129922;0.238766;-5.40962;-1.96912;1.40921;-0.395987;3305.43;3440.13;271.26;18184.5;40000;240.061;148346;402528;183663;71287.1;7565.06;0.4625;0.882028;0.906907;0.033027;0.0253899;./sim_cue_integration_18_8_2019_131436_642569323
0;0.01;0.01;0.01;1;-1;0;0.5;0.206897;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;653051394;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.49566;0.492332;0.675146;0.0924966;0.17675;2.3674;1.8916;-4.6746;-3.56767;8.38777;-1.8398;3052.45;3155.71;4624.79;119.088;40000;56216.3;176035;297156;252649;712496;14137;0.4525;0.855402;0.868911;0.0241562;0.0223492;./sim_cue_integration_18_8_2019_131436_626480080
0;0.01;0.01;0.01;1;-1;0;0.5;0.206897;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;649795199;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.489049;0.493232;0.654173;0.0769738;0.794359;1.11748;6.00047;-4.86503;2.04728;8.37163;-1.45725;2764.91;2809.38;4395.82;86.1677;39999.4;12820.9;403953;272158;150755;711299;11467.2;0.485;0.836358;0.830466;0.017231;0.0181814;./sim_cue_integration_18_8_2019_131436_621595809
0;0.01;0.01;0.01;1;-1;0;0.9;0.206897;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;627523571;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.518911;0.519808;0.372546;0.938266;0.254208;0.873408;7.18513;-2.08495;2.45086;8.33087;-1.3394;3450.99;3475.17;1480.32;8911.19;39999.9;7882.74;552471;84087.7;201765;705287;10433;0.4775;0.862396;0.883243;0.0304464;0.0257486;./sim_cue_integration_18_8_2019_131436_610053875
0;0.01;0.01;0.01;1;-1;0;0.9;0.241379;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;583387468;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.500157;0.503495;0.359506;0.93952;0.155294;0.849383;5.63843;-4.99062;-0.0598502;8.35707;-1.1921;3233.08;3273.88;1365.18;8924.98;40000;7397.6;380779;309328;191300;709386;10000.5;0.4475;0.864877;0.890396;0.0284007;0.0224343;./sim_cue_integration_18_8_2019_131436_566991366
0;0.01;0.01;0.01;1;-1;0;0.9;0.241379;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;578037975;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.488484;0.481983;0.490833;0.755908;0.112388;1.48785;-4.19431;-4.7804;-0.00705828;8.28801;-1.52715;3203.85;3313.1;2495.56;5814.65;40000;22312.4;253965;337374;200243;698565;11663.9;0.46;0.882152;0.883759;0.0275958;0.0261975;./sim_cue_integration_18_8_2019_131436_561395423
0;0.01;0.01;0.01;1;-1;0;1;0.206897;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;568047632;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.528444;0.540605;0.141833;1.39231;0.0993177;0.138892;3.22455;0.356778;-0.901643;-1.59138;-0.27262;3692.13;3898.27;263.417;19512.9;40000;266.057;181153;127812;147361;160765;7374.49;0.52;0.885239;0.925258;0.0322074;0.019442;./sim_cue_integration_18_8_2019_131436_548390821
0;0.01;0.01;0.01;1;-1;0;1;0.241379;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;536921771;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.504314;0.500751;0.118783;1.38795;0.122366;0.111309;-2.69473;2.283;0.173477;0.755948;-0.323623;3438.65;3409.45;188.806;19361.3;40000;182.292;166550;230142;178969;148061;7542.32;0.52;0.895569;0.899313;0.028701;0.0286032;./sim_cue_integration_18_8_2019_131436_517014530
0;0.01;0.01;0.01;1;-1;0;0.5;0.275862;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;502115429;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.516003;0.515204;0.63458;0.0725439;0.548825;1.13004;4.46146;-6.77507;-2.96355;8.29093;-1.24717;3024.78;3019.52;4350.79;80.6072;39999.7;13078.1;296002;498853;227344;698779;10760.4;0.5475;0.818738;0.832028;0.0183415;0.0177156;./sim_cue_integration_18_8_2019_131436_484218009
