amin;amax;mu_amat;gmax;mu_g;gmin;mu_ajuv;init_dp;sigmoidal_survival;nc;m;mu_agen;init_bmat_phen;init_g;laplace;mu_dp;p;init_dc;mu_asoc;seed;sdsoc;init_ajuv;bmax;init_asoc;qmat;qjuv;sdmu_a;sdmat;nloci_g;mu_dc;init_amat;init_agen;init_bmat_envt;survival_scalar1;sdmu_b;bmin;mu_bmat_phen;np;survival_scalar0;sdmu_g;mu_bmat_envt;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.25;0;0.01;2030612583;0.05;0;10;0;0.9;0.9;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.518813;0.520131;0.18736;0.0304603;0.396846;0.145146;0.941196;6.69214;3.74147;-7.26488;-1.05676;2733.38;2750.8;404.765;16.0548;39999.8;288.013;171885;483413;237517;557647;8991.58;0.505;0.787628;0.815396;0.00277916;0.00254203;./sim_cue_integration_18_8_2019_110413_2048645222
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.2;0;0.01;2031245048;0.05;0;10;0;0.9;0.9;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.520475;0.504319;0.445818;0.0286512;0.369214;1.42;-2.00421;6.93388;0.866167;-8.82485;-1.81168;2877.92;2740.25;2018.6;14.8416;39999.9;20307.7;145723;509857;232453;784279;13666.7;0.5175;0.807517;0.823278;0.00969829;0.0087997;./sim_cue_integration_18_8_2019_110413_2049880511
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.1;0;0.01;2038737121;0.05;0;10;0;0.9;0.9;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.502445;0.519807;0.682151;0.0353171;0.526254;2.27904;-1.41117;6.50962;5.06161;-8.5246;-1.93624;3092.63;3392.34;4701.18;20.9661;39999.7;52205.4;138632;453878;335020;735512;14707.6;0.4975;0.839701;0.878696;0.0275205;0.0194765;./sim_cue_integration_18_8_2019_110413_2064313493
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.15;0;0.01;2041181807;0.05;0;10;0;0.9;0.9;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.519366;0.505401;0.538905;0.0321924;0.515695;1.69087;0.241846;6.44695;4.37978;-8.78669;-1.88901;3001.16;2918.89;2942.67;18.0942;39999.7;28724;95394.6;451904;287620;778229;14257.3;0.4675;0.831793;0.833331;0.0151857;0.0145811;./sim_cue_integration_18_8_2019_110413_2065887677
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.05;0;0.01;2040387993;0.05;0;10;0;1;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;1;0.8;0.25;0.01;49990;0.526421;0.521449;0.776905;0.0462395;2.92698;0.277582;-4.86422;6.75028;1.42632;-7.81146;-1.89038;3718.68;3667.84;6092.82;33.1193;39991.4;890.768;293461;480283;229404;634993;14342.4;0.52;0.88992;0.922412;0.0306895;0.0214107;./sim_cue_integration_18_8_2019_110413_2066876635
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.05;0;0.01;2049560056;0.05;0;10;0;0.5;0.5;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;1;0.8;0.25;0.01;49990;0.516317;0.516091;0.0789341;0.0743025;0.077594;0.100072;-2.80089;0.811141;0.318117;-7.43866;-0.269034;2676.65;2674.19;90.7786;80.7125;40000;146.249;189451;62918.7;187705;580962;7553.44;0.5;0.785766;0.811994;0.000754663;0.000659134;./sim_cue_integration_18_8_2019_110413_2071386511
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.25;0;0.01;2069578102;0.05;0;10;0;0.5;0.9;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.516799;0.515207;0.0822318;0.0272971;0.0869134;0.147863;-1.18985;2.41707;-5.04307;-7.22109;-0.532709;2678.39;2661.61;94.7444;13.404;40000;297.424;135519;157737;312408;546435;7517.38;0.5425;0.7844;0.810913;0.000529184;0.000470685;./sim_cue_integration_18_8_2019_110413_2086824560
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.2;0;0.01;2069935265;0.05;0;10;0;0.5;0.9;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.514709;0.51456;0.0834416;0.0263085;0.0771806;0.122454;0.38252;-1.55328;-1.56458;-7.94959;-0.430171;2656.4;2654.33;98.8775;12.89;40000;201.903;198909;103806;163418;650451;7588.88;0.5;0.785525;0.809734;0.000475404;0.000456235;./sim_cue_integration_18_8_2019_110413_2087148828
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.15;0;0.01;2074417962;0.05;0;10;0;0.5;0.9;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.51339;0.512178;0.0979182;0.0246356;0.0697099;0.166318;0.346313;-2.43031;0.353527;-7.87353;-0.612154;2644.25;2631.3;128.45;11.201;40000;359.114;198846;167853;210768;641793;7809.22;0.525;0.786527;0.80827;0.000574213;0.000551994;./sim_cue_integration_18_8_2019_110413_2091146055
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.1;0;0.01;2065132392;0.05;0;10;0;1;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;1;0.8;0.25;0.01;49990;0.504046;0.499335;0.533924;0.0330233;1.95719;0.125985;-2.90931;7.38727;-0.16364;-5.35911;-1.87151;3034.81;2987.5;2891.82;18.4478;39996.2;238.489;157287;568908;162706;337053;14104.1;0.4975;0.858999;0.850877;0.0208513;0.0232701;./sim_cue_integration_18_8_2019_110413_2100108588
