sdmu_a;init_bmat_phen;mu_asoc_vert;init_vp;mu_bmat_envt;amax;init_asoc_horiz;sdsoc_horiz;m;amin;mu_amat;nph;init_vc;init_asoc_vert;sdsoc_vert;init_ajuv;qjuv;gmin;init_hc;npv;mu_bmat_phen;sdmu_g;survival_scalar1;seed;init_hp;survival_scalar0;bmax;mu_g;init_agen;nch;mu_hp;init_bmat_envt;mu_hc;mu_vc;sdmat;mu_agen;laplace;sigmoidal_survival;qmat;bmin;mu_asoc_horiz;nloci_g;init_amat;mu_ajuv;init_g;ncv;gmax;sdmu_b;mu_vp;p;generation;mean_phen_ad;mean_phen_juv;mean_phen_prestige_vert;mean_phen_prestige_horiz;mean_agen;mean_ajuv;mean_amat;mean_asoc_vert;mean_asoc_horiz;mean_bmat_phen;mean_bmat_envt;mean_hc;mean_hp;mean_vc;mean_vp;mean_g;var_phen_ad;var_phen_juv;var_phen_prestige_vert;var_phen_prestige_horiz;var_agen;var_ajuv;var_amat;var_asoc_vert;var_asoc_horiz;var_bmat_phen;var_bmat_envt;var_hc;var_hp;var_vc;var_vp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0.02;0;0.01;0;0.01;8;0;1;0.1;0;0.01;0;0;0;0.05;0;0.5;-1;0;5;0.01;0.25;0;1825010327;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.222;49990;0.518284;0.498633;0.517261;0;0.359724;0.0733045;0.0891472;1.18183;0.17335;-2.58642;-0.962471;6.35784;5.05541;-0.22842;-9.2604;-1.69642;0.0129523;0.0117144;0.0243429;0;0.00422479;0.00287502;40000;0.0132649;0.0072576;16.3693;9.33986;3.32927;3.47133;0.41358;0.279429;-1.60402;0.5375;0.807488;0.833155;0.00754092;0.00631473;./sim_cue_integration_18_10_2019_135520_1806434396
0.02;0;0.01;0;0.01;8;0;1;0.9;0;0.01;0;0;0;1;0;0.95;-1;0;5;0.01;0.25;0;1815560478;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.511773;0.50059;0.509082;0;0.115554;0.0507216;0.0863085;0.0978111;0.0945655;-2.618;-3.61666;-5.15389;2.48864;-5.4097;-2.11128;-0.684072;0.0015414;0.00135488;0.00288679;0;0.00382479;0.0013321;40000;0.00360408;0.00364453;17.41;11.1187;6.01182;5.9897;8.26127;15.5531;0.316668;0.5075;0.788485;0.808051;0.00102463;0.000940969;./sim_cue_integration_18_10_2019_135520_1787348680
0.02;0;0.01;0;0.01;8;0;0.1;0.9;0;0.01;0;0;0;1;0;0.5;-1;0;5;0.01;0.25;0;1748894627;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.513989;0.509913;0.515195;0;0.076887;0.0700638;0.0943894;0.0951722;0.138787;3.31451;0.991467;-0.582268;7.39184;-4.50788;-5.36722;-0.633132;0.00126095;0.00120648;0.0023163;0;0.00266824;0.00212497;40000;0.00350916;0.00663161;13.4166;9.45877;4.52598;3.2064;5.36622;7.93485;0.365629;0.505;0.787979;0.809531;0.000840311;0.000770205;./sim_cue_integration_18_10_2019_135520_1729841162
0.02;0;0.01;0;0.01;8;0;0.1;0.9;0;0.01;0;0;0;0.1;0;0.95;-1;0;5;0.01;0.25;0;1748898421;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0;49990;0.975093;0.814697;0.0109512;0;2.00515;0.100123;1.36648;4.8467;2.52786;-8.32979;0.402124;7.04406;1.579;-6.67171;-5.52115;-2.00755;0.00090158;0.0198379;4.72294e-05;0;0.022971;0.00381756;39998.1;0.0648206;0.0390758;1.34233;3.01556;1.96865;9.68524;2.79867;4.9538;-2.47475;1;0.995569;-nan;0.000310583;-nan;./sim_cue_integration_18_10_2019_135520_1729556951
0.02;0;0.01;0;0.01;8;0;0.1;0.1;0;0.01;0;0;0;0.1;0;0.5;-1;0;5;0.01;0.25;0;1746379641;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.222;49990;0.515943;0.449192;0.523604;0;0.486149;0.07171;0.102824;1.28813;0.861089;0.315572;-1.54376;7.45802;3.87877;0.658068;-9.07124;-1.79305;0.0287552;0.0139837;0.0506231;0;0.00420873;0.00245095;40000;0.0135706;0.0177094;27.9976;13.2406;1.5784;8.61;0.393252;0.362664;-1.87454;0.4825;0.819188;0.839443;0.0158633;0.0139464;./sim_cue_integration_18_10_2019_135520_1727887594
0.02;0;0.01;0;0.01;8;0;0.05;0.9;0;0.01;0;0;0;0.05;0;0.9;-1;0;5;0.01;0.25;0;1746018573;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.51258;0.503954;0.512415;0;0.0907227;0.0448032;0.0764493;0.111265;0.138802;0.202498;-2.39093;-3.52646;5.95377;-6.93169;2.02711;-0.556091;0.00126118;0.00104926;0.00244374;0;0.00322473;0.00128622;40000;0.00546037;0.00733602;8.96974;6.13308;7.50157;4.1761;4.85963;6.85206;0.422723;0.505;0.787957;0.80892;0.000876128;0.000790236;./sim_cue_integration_18_10_2019_135520_1722584079
0.02;0;0.01;0;0.01;8;0;0.05;0.1;0;0.01;0;0;0;1;0;0.95;-1;0;5;0.01;0.25;0;1743624658;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0;49990;0.518976;0.482264;0.465192;0;0.147151;0.0164465;0.0920115;0.0989591;0.196493;-0.826639;-0.148047;-7.04718;3.05061;-0.619979;-7.4406;-1.03545;0.00211606;0.00156488;0.00110441;0;0.0044573;0.000284871;40000;0.00464617;0.00608841;13.0425;9.72254;2.78815;7.30327;3.40874;3.21081;-0.160842;1;0.781144;-nan;0.00147917;-nan;./sim_cue_integration_18_10_2019_135520_1718859268
0.02;0;0.01;0;0.01;8;0;1;0.9;0;0.01;0;0;0;0.05;0;0.9;-1;0;5;0.01;0.25;0;1738042185;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0;49990;0.962222;0.957489;0.0224069;0;1.6611;0.0941222;2.12901;4.97282;0.204728;-8.41041;-0.137864;4.55355;-0.235426;-5.51323;-5.90999;-2.02379;0.00100951;0.00122327;0.000114923;0;0.0111515;0.00378631;39995.5;0.0344109;0.0135119;1.19609;1.79208;6.47886;14.3085;2.86981;4.23156;-2.528;1;0.994153;-nan;0.000230235;-nan;./sim_cue_integration_18_10_2019_135520_1718290524
0.02;0;0.01;0;0.01;8;0;1;0.1;0;0.01;0;0;0;0.05;0;0.9;-1;0;5;0.01;0.25;0;1735255176;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.50179;0.483975;0.529277;0;0.67293;0.0476;0.0950673;2.71479;0.189534;-4.78001;3.36651;6.24911;0.52049;0.627846;-9.29973;-2.07302;0.0581126;0.0557325;0.090875;0;0.00409083;0.00136801;40000;0.0161312;0.011162;9.47915;15.4949;3.52048;19.3709;0.301416;0.288616;-2.66599;0.5;0.856561;0.880644;0.0246849;0.0195075;./sim_cue_integration_18_10_2019_135520_1718103618
0.02;0;0.01;0;0.01;8;0;0.1;0.9;0;0.01;0;0;0;0.05;0;0.95;-1;0;5;0.01;0.25;0;1743740664;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.513005;0.50272;0.512975;0;0.102744;0.0498292;0.0807247;0.111411;0.133026;-1.76795;-0.0358906;-3.63434;5.04244;-5.8327;-0.0956451;-0.570771;0.00143333;0.00119348;0.00272082;0;0.00350971;0.00131786;40000;0.00513428;0.00828702;5.0299;13.4274;4.60976;5.83614;3.76717;17.5249;0.425602;0.535;0.78785;0.80884;0.000962625;0.000871841;./sim_cue_integration_18_10_2019_135520_1712899540
